7zip 25.01-1
wine-mono 10.4.1-1
winetricks 20260125-1
wireless_tools 30.pre9-5
wofi 1.5.3-1
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-3
xdg-desktop-portal-kde 6.5.5-1
xdg-utils 1.2.1-2
xorg-server 21.1.21-1
xorg-xinit 1.4.4-1
xwayland-satellite 0.8-1
yarn 1.22.22-2
yazi 26.1.22-1
zathura 0.5.14-1
zathura-pdf-poppler 0.3.4-1
zenith 0.14.3-1
zenmap 7.98-4
zip 3.0-11
zoxide 0.9.9-1
zram-generator 1.2.1-1
zsh 5.9-5
